AGE,MEAN,SD,OBESITY
1,9.7,1.2,14.8
2,12.5,1.5,18.1
3,13.6,1.4,21.5
4,15.7,1.6,24.9
5,18.5,3.5,28
6,20.9,3.3,30.2
7,23.2,4.1,33.3
8,26,5.2,37.2
9,30.7,6.6,43.3
10,31.2,6.7,45.9
11,37.2,7.4,52.6
12,42.8,7,57.8
13,43,6.7,57.7
14,48.5,6.9,64.4
15,48.6,6.2,67.8
16,52.6,5.9,71.5
17,51.4,7.2,71.6
18,50.4,5.2,68.6
19,52.7,7.1,72.8
20,51.2,8,72.2
21,50.9,8.8,72.7
22,50.7,7.3,71
23,50.1,9.7,72.8
24,53.7,7.4,74.1
25,54.3,11.4,78.7
26_29,52.7,8.7,74.4
30_39,53.7,10,76.7
40_49,54.6,9.2,76.8
50_59,55.2,10,78.2
60_69,53.1,8.5,74.6
>70,50.4,8.8,72.2